City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Goure,NE,2022-08-13 15:35:37,13.9835,10.2704,300.94,51,100,6.7
149,Bilibino,RU,2022-08-13 15:35:37,68.0546,166.4372,277.24,89,36,2.2
150,Talnakh,RU,2022-08-13 15:35:38,69.4865,88.3972,285.49,53,100,4.13
151,Atocha,BO,2022-08-13 15:35:38,-20.9333,-66.2333,284.25,19,100,6.14
152,Paratinga,BR,2022-08-13 15:35:39,-12.6906,-43.1842,306.57,24,67,3.3
153,Torbay,CA,2022-08-13 15:35:39,47.6666,-52.7314,294.75,86,100,3.6
154,Meulaboh,ID,2022-08-13 15:35:40,4.1363,96.1285,298.84,84,33,1.46
155,La Macarena,CO,2022-08-13 15:35:40,2.1837,-73.7849,302.17,60,73,1.15
156,Huarmey,PE,2022-08-13 15:35:41,-10.0681,-78.1522,292.42,74,69,3.13
157,Bria,CF,2022-08-13 15:35:41,6.5423,21.9863,296.91,94,31,1.83
158,Charters Towers,AU,2022-08-13 15:35:42,-20.1,146.2667,288.32,38,0,4.83
159,Flinders,AU,2022-08-13 15:35:43,-34.5833,150.8552,284.92,72,67,0.89
160,Saskylakh,RU,2022-08-13 15:35:43,71.9167,114.0833,279.74,71,18,2.27
161,Narsaq,GL,2022-08-13 15:35:44,60.9167,-46.05,284.27,85,100,0.39
162,Madimba,TZ,2022-08-13 15:35:44,-10.4,40.3333,296.16,77,49,3.66
163,Paramonga,PE,2022-08-13 15:35:45,-10.6667,-77.8333,292.15,73,76,3.44
164,Gravelbourg,CA,2022-08-13 15:35:46,49.8834,-106.5512,294.3,42,12,3.74
165,Hithadhoo,MV,2022-08-13 15:35:46,-0.6,73.0833,301.62,74,66,4.03
166,Richards Bay,ZA,2022-08-13 15:35:47,-28.783,32.0377,293.23,75,100,2.78
167,Svay Rieng,KH,2022-08-13 15:35:47,11.0879,105.7993,300.16,80,91,3.23
168,Yelyzavethradka,UA,2022-08-13 15:35:48,48.8038,32.4046,304.26,31,23,2.21
