City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
244,Athens,37.9795,23.7162,99.37,34,0,13.8,clear sky
245,Yeppoon,-23.1333,150.7333,55.18,80,0,2.62,clear sky
246,Fez,34.0372,-4.9998,100.65,15,75,4.61,broken clouds
247,Ostrovnoy,68.0531,39.5131,74.59,63,82,18.14,broken clouds
248,Glace Bay,46.1969,-59.957,78.33,72,20,12.66,few clouds
249,Darhan,49.4867,105.9228,51.22,89,100,6.4,overcast clouds
250,Clyde River,70.4692,-68.5914,50.23,62,75,16.11,broken clouds
251,Grindavik,63.8424,-22.4338,52.27,66,20,31.07,few clouds
252,Buritizeiro,-17.3511,-44.9622,81.91,32,5,13.22,clear sky
253,Ulaanbaatar,47.9077,106.8832,51.93,87,40,2.24,scattered clouds
254,Bonavista,48.6499,-53.1147,65.48,84,99,11.77,overcast clouds
255,Basco,20.4487,121.9702,84.83,70,16,5.99,few clouds
256,Barra Patuca,15.8,-84.2833,81.43,82,100,5.61,overcast clouds
257,Lompoc,34.6391,-120.4579,56.52,97,100,1.01,fog
258,Lyskovo,56.0328,45.0422,73.72,38,8,8.77,clear sky
259,Egvekinot,66.3167,-179.1667,41.16,74,99,1.19,overcast clouds
260,Mokhsogollokh,61.4681,128.9203,49.42,97,100,4.88,light rain
261,Nishihara,26.1842,127.7558,84.25,84,40,9.22,scattered clouds
262,Hurghada,27.2574,33.8129,98.64,20,0,20.71,clear sky
263,Nouakchott,18.0858,-15.9785,89.53,77,28,13.49,scattered clouds
264,Bara,10.3744,10.7288,83.98,67,94,10.54,overcast clouds
265,Wahiawa,21.5028,-158.0236,75.52,78,63,7.83,broken clouds
266,Constitucion,-35.3333,-72.4167,56.14,67,6,7.67,clear sky
267,Bataipora,-22.2953,-53.2711,58.01,61,34,11.41,scattered clouds
268,Denpasar,-8.65,115.2167,78.46,78,40,16.11,scattered clouds
269,Hutchinson,38.0608,-97.9298,74.59,82,0,1.01,clear sky
270,Polson,47.6936,-114.1632,68.77,66,85,1.54,overcast clouds
271,Boende,-0.2167,20.8667,84.2,56,97,0.47,overcast clouds
272,Lodja,-3.4833,23.4333,90.32,40,76,4.21,broken clouds
273,Olafsvik,64.8945,-23.7142,46.76,74,78,13.78,broken clouds
274,San-Pedro,4.7485,-6.6363,78.8,72,100,9.86,overcast clouds
275,Maturin,9.75,-63.1767,77.83,89,100,4.32,overcast clouds
276,Salalah,17.0151,54.0924,77.09,94,100,6.91,overcast clouds
277,Pokhara,28.2333,83.9833,73.9,95,100,1.01,overcast clouds
278,Margate,51.3813,1.3862,73.87,57,47,11.25,scattered clouds
279,Bantou,26.2151,117.4893,82.45,72,100,2.42,overcast clouds
280,Ocos,14.5094,-92.1933,78.98,74,98,2.24,overcast clouds
281,Pangnirtung,66.1451,-65.7125,48.2,87,100,6.91,overcast clouds
282,Guanica,17.9716,-66.908,88.12,72,2,13.11,clear sky
283,Katherine,-14.4667,132.2667,66.52,34,0,8.05,clear sky
284,Quebo,11.3333,-14.9333,74.37,95,100,8.3,light rain
285,Bandarbeyla,9.4942,50.8122,79.41,77,54,30.65,broken clouds
286,Vanimo,-2.6741,141.3028,77.09,88,95,3.74,overcast clouds
287,Guilin,25.2819,110.2864,84.31,84,77,1.61,broken clouds
288,Manzil Salim,35.8567,8.4765,90.3,16,0,11.9,clear sky
289,Ko Samui,9.5357,99.9357,85.91,74,20,2.3,few clouds
290,Mozarlandia,-14.7447,-50.5706,91.06,21,0,13.27,clear sky
291,Asuncion Mita,14.3308,-89.7108,78.85,89,100,4.05,overcast clouds
292,Bayji,34.9311,43.487,110.53,10,93,7.54,overcast clouds
293,Sri Aman,1.2376,111.4621,75.25,94,100,0.0,light rain
294,Novy Malin,49.9426,17.0319,77.41,74,100,3.89,overcast clouds
295,Avera,33.194,-82.5271,79.56,76,2,3.27,clear sky
296,Lasa,46.6166,10.7002,72.01,59,84,4.18,broken clouds
297,Ponta Do Sol,32.6667,-17.1,84.0,64,0,1.01,clear sky
298,Ramanagaram,12.7167,77.3,79.41,80,100,9.04,overcast clouds
299,Port Blair,11.6667,92.75,80.64,89,40,5.75,drizzle
300,Esperance,-33.8667,121.9,53.87,86,21,7.9,few clouds
301,Stornoway,58.2093,-6.3865,57.16,75,40,19.57,scattered clouds
302,Kaputa,-8.4689,29.6619,86.43,25,11,2.68,few clouds
303,Mana,5.6592,-53.7767,85.96,66,97,8.61,overcast clouds
304,Torbay,47.6666,-52.7314,72.37,73,75,17.27,broken clouds
305,Cabra,37.4725,-4.4421,97.2,13,0,11.39,clear sky
306,Tilichiki,60.4667,166.1,49.64,93,100,4.21,overcast clouds
307,Sharjah,25.3573,55.4033,100.69,37,0,12.66,clear sky
308,Brattvag,62.6002,6.4434,64.6,72,20,11.5,few clouds
309,Vitim,59.4511,112.5578,49.62,97,100,5.21,overcast clouds
310,Davila,18.4726,120.5763,81.81,80,90,5.19,overcast clouds
311,Imbituba,-28.24,-48.6703,60.1,65,72,7.0,broken clouds
312,Dumas,35.8656,-101.9732,72.61,53,0,0.0,clear sky
313,Alta Gracia,-31.6529,-64.4283,63.37,19,5,9.1,clear sky
314,Sao Filipe,14.8961,-24.4956,78.17,79,100,9.31,overcast clouds
315,Dalbandin,28.8947,64.4101,90.82,20,99,10.87,overcast clouds
316,Qurayyat,31.3318,37.3428,95.18,13,0,11.5,clear sky
317,Mulchen,-37.7167,-72.2333,49.86,78,37,7.65,scattered clouds
318,Narsaq,60.9167,-46.05,43.02,94,100,2.28,light rain
319,Cayenne,4.9333,-52.3333,87.84,66,75,8.05,broken clouds
320,San Jose,37.3394,-121.895,61.86,86,0,4.61,clear sky
321,Norman Wells,65.282,-126.8329,51.84,87,75,5.75,broken clouds
322,Coahuayana,18.7333,-103.6833,77.29,89,89,3.62,overcast clouds
323,Ville-Marie,47.3335,-79.433,70.7,73,91,6.73,overcast clouds
324,San Patricio,28.017,-97.5169,89.46,71,59,9.82,broken clouds
325,Tabas,33.5959,56.9244,94.98,7,0,19.26,clear sky
326,Nagua,19.3832,-69.8474,84.25,79,75,5.75,broken clouds
327,Dingle,10.9995,122.6711,77.47,90,100,1.9,overcast clouds
328,Yar-Sale,66.8333,70.8333,54.86,52,0,12.15,clear sky
329,Santa Isabel Do Rio Negro,-0.4139,-65.0192,79.2,80,100,3.83,overcast clouds
330,Lagoa,39.05,-27.9833,73.9,72,18,2.35,few clouds
331,Veraval,20.9,70.3667,80.85,85,79,13.8,broken clouds
332,Fort Walton Beach,30.4058,-86.6188,87.82,82,20,6.91,few clouds
333,Bayangol,50.6977,103.4656,42.58,93,100,3.36,overcast clouds
334,Urubicha,-15.3833,-62.95,63.43,23,0,6.38,clear sky
335,Trinidad,-14.8333,-64.9,64.38,34,0,19.57,clear sky
336,Kiruna,67.8557,20.2251,61.72,94,75,8.05,light rain
337,Asau,46.4333,26.4,83.32,43,34,4.9,scattered clouds
338,Luderitz,-26.6481,15.1594,71.42,34,0,29.21,clear sky
339,Dawson Creek,55.7666,-120.2362,62.24,67,0,11.5,clear sky
340,Ostrov,57.3439,28.3537,80.33,50,23,9.13,few clouds
341,Pozo Colorado,-23.4923,-58.7972,59.65,39,0,5.19,clear sky
342,Inhambane,-23.865,35.3833,76.98,41,0,2.01,clear sky
343,Guiyang,26.5833,106.7167,82.89,61,20,8.95,few clouds
344,Sokolovo,52.5318,84.7896,56.8,61,100,2.3,overcast clouds
345,San Cristobal,7.7669,-72.225,77.18,78,100,6.2,overcast clouds
346,Riviere-Au-Renard,48.9957,-64.3971,80.89,64,51,15.01,broken clouds
347,Tiarei,-17.5333,-149.3333,69.82,80,92,15.61,overcast clouds
348,Chudniv,50.052,28.1175,74.14,54,74,12.55,broken clouds
349,Praia,14.9215,-23.5087,77.54,88,75,14.97,light intensity drizzle
350,Hokitika,-42.7167,170.9667,50.86,85,100,5.3,overcast clouds
351,Kautokeino,69.0125,23.0412,62.22,91,100,13.0,overcast clouds
352,Formosa Do Rio Preto,-11.0483,-45.1931,83.97,29,27,11.12,scattered clouds
353,Guerrero Negro,27.9769,-114.0611,70.59,83,24,4.25,few clouds
354,Itarema,-2.9248,-39.9167,88.5,46,50,12.93,scattered clouds
355,Bocas Del Toro,9.3333,-82.25,80.4,76,1,6.53,clear sky
356,Kabo,7.6994,18.629,82.24,78,98,3.87,light rain
357,Nemuro,43.3236,145.575,67.12,97,100,19.77,overcast clouds
358,Waingapu,-9.6567,120.2641,73.08,72,3,9.4,clear sky
359,Wanning,18.8003,110.3967,78.35,89,100,9.44,overcast clouds
360,Katsuura,35.1333,140.3,80.62,93,100,4.94,overcast clouds
361,Liverpool,53.4106,-2.9779,75.15,51,40,25.32,scattered clouds
362,Hualmay,-11.0964,-77.6139,63.16,76,48,7.11,scattered clouds
363,Gigmoto,13.7796,124.39,79.95,83,100,1.99,light rain
364,Saint-Francois,46.4154,3.9054,74.68,60,0,8.05,clear sky
365,Tonstad,58.6626,6.7169,67.21,53,6,12.95,clear sky
366,Issoudun,47.0,1.8333,77.65,50,75,9.22,broken clouds
367,Severo-Yeniseyskiy,60.3725,93.0408,52.3,69,100,6.91,overcast clouds
368,Provideniya,64.3833,-173.3,44.8,78,70,7.0,broken clouds
369,Masuguru,-11.3667,38.4167,93.22,27,3,2.39,clear sky
370,Lujan,-34.5703,-59.105,56.01,45,2,12.75,clear sky
371,Boke,10.9409,-14.2967,74.93,91,100,7.65,light rain
372,Janauba,-15.8025,-43.3089,72.37,55,92,19.98,overcast clouds
373,Paamiut,61.994,-49.6678,40.69,94,100,19.91,overcast clouds
374,Mulege,26.8833,-111.9833,81.37,57,100,6.49,overcast clouds
375,Tezu,27.9167,96.1667,79.11,95,49,3.11,scattered clouds
376,Sabha,27.0377,14.4283,103.57,11,0,12.24,clear sky
377,Druzhba,52.0428,33.9453,67.06,52,100,12.1,overcast clouds
378,Mogadishu,2.0371,45.3438,76.87,73,75,16.11,broken clouds
